v1,v2,v3,v4,v5,v6,v7,v8,transaction_amount,is_fraud
-0.4586,-0.2346,1.486,-0.8223,-0.7198,-1.1286,-1.482,0.307,367.91,0
1.2246,-1.8233,0.8433,-0.8886,1.0489,3.2082,-2.2732,0.6954,383.76,0
-0.8333,-0.9326,-1.8259,-0.6292,-0.9894,0.118,-0.7877,-0.4796,219.87,0
-1.6099,0.597,0.5267,2.0144,1.0455,0.3641,1.3591,0.5389,10.8,0
2.2715,-0.2691,0.257,1.9051,-1.5139,-1.6378,-0.7955,0.8134,74.65,0
-0.0973,0.935,-2.7232,0.19,1.2025,1.87,0.732,1.6849,312.12,0
-0.4904,-1.3353,0.4932,-0.206,-1.2075,0.5005,1.4311,-1.6297,517.68,0
0.685,2.1382,-1.6296,-0.8425,-0.2369,-0.4171,-0.3328,-1.3042,493.13,0
0.0815,-0.0324,1.1042,-0.5901,-0.1403,-1.0893,1.4189,0.3925,30.04,0
-0.8286,0.6108,1.2596,-0.6433,-0.7458,-0.2872,0.3247,-1.4105,94.11,0
0.3894,-2.1217,-0.1351,0.8806,-0.5262,0.1867,2.1093,0.3316,96.7,0
-1.0837,0.7624,-0.3414,0.3073,-0.1123,-0.1426,-0.3042,0.1795,108.05,0
-0.1817,1.0702,2.2285,0.1797,-0.0066,0.2559,-0.6579,0.765,274.09,0
1.275,-1.1673,-0.4596,0.8664,-1.2319,1.7753,-0.2168,0.8745,165.52,0
0.8446,-0.2612,-0.3669,-0.2791,-1.08,0.6323,0.2813,0.4352,298.31,0
-0.3516,0.1732,-0.093,-0.2515,-0.8407,-0.3106,0.3372,1.4186,493.34,0
0.9911,-0.8428,0.9985,-0.0441,-0.3246,-0.7085,-0.5599,1.7423,270.24,0
-0.6419,-0.24,-0.0447,1.6438,0.5845,0.385,1.2967,-0.6332,388.76,0
2.0503,-1.1103,0.7204,-2.8779,0.6686,-1.8702,-0.525,-1.313,332.94,0
-0.5409,0.3448,0.5932,0.7685,-0.0897,0.5286,0.7456,0.2006,209.62,0
-1.336,0.1662,-0.0342,-0.4981,1.9053,0.1059,0.5424,0.9879,84.64,0
-0.4643,0.8485,-0.3373,1.2398,-0.0394,0.1317,-0.2747,-0.5225,334.68,0
0.3395,-0.7345,-0.3253,-0.4742,2.5114,1.0202,0.1679,1.366,240.87,0
0.0423,0.1231,0.7151,-0.6415,0.8739,-1.0906,-0.5034,1.699,78.8,0
-0.5621,-1.6778,2.1748,0.8032,0.8631,1.8188,0.2241,1.3524,271.95,0
-0.7707,-0.558,3.2939,0.421,-1.38,0.8427,-0.91,0.9091,71.4,0
1.5657,0.1985,-0.1069,-2.4599,-1.6113,-0.3943,-1.1011,0.8141,189.12,0
-0.8649,-1.4394,-0.2066,0.8118,-0.2206,0.542,-0.1811,0.717,346.74,0
-1.4566,-0.9843,0.3322,-0.6215,-0.7584,-0.4848,0.7296,-0.9329,249.95,0
0.066,-0.0862,1.3066,2.0819,-0.4315,0.8337,0.3191,0.3311,51.17,0
-0.2263,0.0959,0.1943,1.14,0.0848,1.2773,-0.1177,-0.3501,447.09,0
-1.2675,-1.6038,0.2096,0.0726,-0.5543,-0.4675,0.3885,1.3905,166.89,0
0.3538,-1.9463,0.6326,-1.5684,1.354,0.2086,-0.4634,0.9902,109.41,0
-0.5157,-0.8321,0.7272,-0.4683,0.5421,-1.1115,-1.3523,0.7553,64.45,0
-1.8737,0.4592,-0.3979,-0.8591,1.1585,0.8891,-2.0065,0.7155,342.71,0
0.2112,0.4826,0.0267,-1.0027,0.5086,-0.1975,-0.0217,2.377,313.03,0
-0.0572,-0.157,-0.8254,0.3038,1.3104,1.2477,0.7237,-1.6959,510.59,0
0.3666,1.2838,-0.6552,-2.2421,-0.9968,-1.0971,0.7367,-2.7167,144.9,0
-0.8271,0.3027,0.1578,0.2579,-0.5351,1.4372,-1.4727,-0.5905,767.88,0
-0.4955,-0.6224,-0.4549,-0.2474,0.5841,-1.0426,1.4584,0.5848,9.26,0
0.6605,-1.5941,0.3757,0.6526,-2.3524,0.1962,0.6946,0.5809,589.58,0
-0.4005,-1.8154,-0.36,-0.279,-1.8213,0.232,0.506,1.8599,22.5,0
-0.9355,1.0772,-1.1018,2.2614,-0.6132,1.7205,-0.1845,1.5807,455.26,0
-0.9907,-1.2865,0.2483,1.6868,-0.1161,-0.0387,1.2908,0.8782,254.8,0
-2.0262,0.8782,1.342,-0.8146,-0.2698,-0.5573,-0.5839,1.075,277.22,0
-0.3883,-0.5702,-0.9466,1.11,-0.7734,-0.0296,-1.4438,0.0308,98.16,0
-0.4798,-1.0308,0.0093,0.2702,-0.8858,0.9887,0.2711,0.8519,45.98,0
0.961,-0.1251,0.1179,-3.0164,-0.3923,0.3383,0.4653,0.9624,134.19,0
-1.4823,1.1114,-1.6254,1.0973,0.4244,-0.1989,0.3451,0.3177,276.77,0
-1.2052,1.1424,-0.3682,1.2697,-0.3334,0.4128,-0.1588,-1.7306,136.98,0
-0.0457,0.7866,-0.1989,-1.4552,0.569,-0.809,-1.3243,-1.0222,229.73,0
0.8473,0.7104,1.9203,-0.9672,0.558,-0.6811,0.5125,-0.2147,117.14,0
-1.0861,-0.8711,1.5235,0.8758,-1.2616,-0.4423,0.406,-0.6265,99.91,0
-0.6083,1.1794,-0.4936,0.6535,-0.5109,-0.224,-2.4212,-0.3019,558.32,0
0.0545,0.4084,-1.1847,0.8124,2.1724,-1.2628,0.3542,-0.7853,388.11,0
-0.0663,-0.1187,-3.1028,-1.244,0.5188,1.2006,0.7288,-0.0757,83.32,0
0.3909,1.4706,1.2338,0.4629,-1.1895,-0.5253,1.9338,-1.4167,144.32,0
-0.3553,1.4925,-0.1096,-1.4678,-0.2451,-1.1976,-1.3936,1.9988,424.13,0
-0.3733,0.7072,0.8663,-0.4974,0.819,0.871,-0.7131,-0.7013,67.92,0
-1.31,-0.5013,-0.462,1.2047,-0.6082,0.4524,0.1957,0.9033,347.52,0
0.7779,0.4884,-0.9848,0.2806,0.6479,1.1712,0.5103,0.3216,563.22,0
1.6783,-0.2976,-0.8233,-1.1241,-0.3364,-0.5627,-0.737,-0.6821,27.26,0
-0.4865,0.1092,0.3801,-0.5601,1.3331,0.5801,-0.8922,1.8829,613.84,0
-0.1944,-2.1868,1.5303,1.1775,-1.6767,0.89,-0.0077,-0.199,526.54,0
-2.8762,-0.0767,-1.0781,-0.8293,1.4746,-0.3748,1.8926,-1.4077,194.57,0
-0.7007,-0.5742,0.1718,0.8,-0.8184,-0.9912,0.0235,0.5393,13.17,0
-0.7282,0.1711,-1.3754,-0.9866,0.0337,0.2624,-1.6288,-1.0575,190.83,0
1.5436,0.8729,0.152,1.4684,0.0833,-0.6205,-1.0017,-0.1078,46.65,0
-0.5285,0.6964,-0.6271,1.6201,-0.0632,0.0852,1.1247,-0.1828,117.83,0
-0.3116,0.6018,0.2656,-0.6413,1.2581,0.7112,-0.4345,1.1036,279.68,0
1.063,-2.7472,1.6135,0.3304,1.3347,-1.1746,-1.7538,1.7864,187.06,0
-1.5136,2.0923,0.0502,-0.9985,0.2429,-1.0531,-0.2834,-1.4526,18.43,0
0.4673,-1.2889,1.0954,-0.8915,0.7434,0.5532,0.6163,1.8532,22.38,0
0.9132,-0.8601,0.9017,0.197,0.1428,1.0258,0.8434,-1.4045,289.58,0
1.5467,1.2117,1.9564,0.5592,0.5431,-0.4874,0.826,-0.6561,317.54,0
0.7792,0.1711,1.2229,1.5628,2.0718,-0.3871,2.4224,0.6375,51.5,1
-0.5011,-1.1904,-0.6589,-0.9342,-1.3139,1.0827,-0.3602,-2.2022,509.65,0
-0.2082,0.364,-0.0829,-1.552,1.8856,1.0042,-0.3354,-0.2951,46.6,0
1.812,-0.6857,0.2188,-1.2893,-0.335,-0.5188,0.4644,1.017,1.98,0
-1.0528,0.1528,-1.3361,0.0062,0.37,1.4615,0.2456,-0.8167,151.39,0
0.5242,-1.579,-0.8308,-0.6627,0.5646,-0.367,-0.0856,-1.4576,131.71,0
-1.0703,-1.4217,0.7884,-1.9124,-0.0787,0.7179,0.1878,-0.44,133.4,0
-0.149,-1.8292,-0.4233,0.0581,0.0397,0.556,0.4744,-0.1388,342.53,0
0.2714,1.1593,0.9928,-0.9276,-3.1338,0.3954,-0.8869,0.6223,140.11,0
0.376,-1.4027,0.9432,-0.5812,-1.0427,1.6462,0.6976,0.9771,748.18,0
-0.4667,1.209,-0.9164,-0.7425,-0.1278,1.0468,-1.1702,0.8915,256.87,0
2.0342,-1.0937,0.7695,1.305,-0.9707,-0.5751,-0.5864,-0.1328,176.05,0
1.6972,2.9001,2.3536,0.5938,2.8264,-0.3821,1.3835,0.3153,201.44,1
0.1196,-0.0406,-1.5207,0.263,-0.0423,0.3122,-0.0775,-0.3603,280.44,0
-0.7955,2.365,0.493,-0.5662,-0.2035,0.4308,-0.0087,0.3459,185.5,0
-2.4788,0.5683,-0.1614,-0.4814,0.181,-0.4958,-2.1239,0.9222,298.45,0
0.8024,-0.2702,-1.5255,-0.1951,0.1915,-0.8185,-0.1182,-0.0715,388.69,0
2.3259,0.0712,0.499,-0.5406,-0.6526,1.9127,-1.9167,0.2786,395.92,0
0.916,0.6312,1.9571,-0.5397,-0.1552,-0.2145,-0.3681,-1.9888,140.76,0
0.5777,0.661,-1.2936,-0.2966,1.8561,-0.9808,0.4266,0.1055,396.44,0
-0.6768,-0.1742,1.9813,0.2512,0.8693,0.5399,0.2734,0.1087,216.78,0
0.5744,-0.6608,-1.3039,-0.5756,0.6556,0.8892,0.3529,1.2014,62.36,0
-0.3564,-0.1983,0.838,-1.8958,-0.9739,0.6699,0.5528,-1.0585,72.18,0
1.1358,-0.0331,-0.4846,1.2265,1.5512,1.2554,-0.8531,-0.4952,261.38,0
1.521,-0.2387,0.5288,0.6281,-0.0201,-1.0959,-0.7988,1.1482,81.86,0
0.0971,0.728,1.5188,-1.894,-1.3254,-0.1196,2.7877,0.8859,210.56,0
0.1108,0.9837,-0.6092,2.133,-1.9046,-1.5851,1.7531,0.474,553.68,0
-0.1864,-1.6854,0.4049,-1.6966,0.1483,-1.2265,-0.8496,1.1547,409.22,0
-0.4963,0.6428,1.0888,0.2788,0.5604,0.2721,0.0095,-1.2936,144.6,0
0.1009,-0.0154,-1.1257,-0.6707,-0.6204,-1.4053,-0.5042,-1.0813,190.24,0
0.4073,-0.2292,2.689,-0.9246,0.7735,0.2433,2.0123,0.3867,41.42,0
-1.8027,0.0317,1.6395,1.6734,-1.8059,0.2984,-0.989,-1.1931,32.97,0
1.0232,-0.1268,0.4099,0.2635,0.3377,1.6847,-1.6244,-0.0684,341.16,0
0.4132,-0.4053,-0.1896,-0.1855,-0.3176,-0.4414,0.7622,-1.7707,195.33,0
0.2606,0.6778,-0.268,1.4982,0.7789,0.5425,0.4937,1.1573,324.75,0
1.6816,-1.7788,-0.1431,-0.4059,1.2801,-0.3157,0.4643,-2.3371,98.75,0
-0.1243,0.1959,0.8646,-0.3436,-1.5638,0.6212,1.1248,-0.0826,143.2,0
-0.5309,-0.7576,-1.3788,0.1031,-1.4057,-0.4638,-0.9087,1.0741,139.84,0
0.1224,-0.5131,-1.1991,0.0717,0.7673,0.0202,-1.0662,0.4818,522.53,0
-1.0146,1.962,-0.4811,1.1589,1.0272,0.3629,-0.1357,0.1938,389.39,0
-0.0202,0.1197,-0.3968,0.5044,0.5018,0.8189,0.6396,2.0,111.16,0
-1.8944,-0.8014,-0.8542,0.1457,-1.2198,1.6823,0.0435,-0.1231,734.23,0
0.6047,-2.6058,-0.2405,0.5179,-0.4105,0.0362,0.7507,0.0809,929.62,0
-0.1231,-2.0506,-0.1394,-0.4004,-0.9335,-0.7521,-0.4102,0.9925,24.04,0
0.8724,-0.1523,-0.479,-0.043,0.7127,-0.9864,-1.2033,1.4842,46.23,0
-0.4484,1.4258,0.0072,0.8963,-1.6418,-1.602,1.4372,0.1012,328.0,0
0.0198,0.1592,0.232,0.3364,0.4249,1.0945,0.0564,-0.8168,153.89,0
-0.4478,-0.3578,-1.6613,-0.0244,0.8991,0.0574,1.0905,0.5803,374.74,0
0.7796,-0.0213,1.1369,1.3152,1.1992,1.2055,-1.037,0.4826,150.44,0
0.4029,0.2164,0.4045,0.5295,-0.2747,0.0829,1.7433,0.142,231.49,0
-1.394,-1.7215,-1.6878,-0.4138,-0.232,0.6826,-0.0286,0.8434,52.63,0
-1.6541,0.4564,-0.7673,0.2143,0.1512,-1.8889,0.0811,0.5145,116.31,0
-0.9303,0.6145,0.945,0.9153,0.2149,0.132,0.5269,0.3038,475.64,0
-1.2035,0.0171,1.2228,0.2723,0.5544,-1.3879,1.9188,-0.7914,565.43,0
-0.2346,-0.2522,-1.7208,0.5397,-0.6959,0.7471,1.3164,-0.1879,402.43,0
0.9204,-1.1383,0.3996,0.0144,0.3475,-0.5198,1.3831,-0.1035,322.01,0
-0.4749,0.1648,-1.2516,-0.6276,0.3718,1.5075,1.1514,0.6609,224.5,0
-1.3372,-0.5678,0.0588,1.0081,0.3543,0.9475,0.0267,-0.7049,571.27,0
0.8691,0.9268,2.7205,0.3846,0.1197,-0.6792,-0.4526,-2.0471,105.33,0
0.9914,-0.827,-0.0048,0.8681,-1.936,-0.0576,-0.4293,-0.1338,43.18,0
2.0311,0.5732,1.3164,1.3068,-0.1259,0.9248,1.7886,-1.2638,204.4,0
1.8452,2.1506,1.8338,1.1836,1.1621,2.2487,1.5929,0.3027,388.06,1
2.1697,1.9426,0.6501,-0.2656,-0.0704,0.4056,-0.4202,1.3188,173.21,0
0.1328,-0.2871,0.6757,0.7018,1.417,1.3376,-0.0663,-0.9444,134.74,0
-1.4151,-0.605,1.6386,0.0329,1.5279,2.9856,-0.492,-1.1973,134.82,0
0.1003,0.4301,-0.735,-0.388,-1.3357,1.487,0.4502,-0.9161,392.26,0
-1.1144,-0.148,-0.0589,-0.7708,0.386,-0.6999,-0.5403,-0.1013,738.95,0
1.1544,0.3089,-0.4629,-0.3269,-1.3229,1.6612,-0.5412,0.9674,325.73,0
-0.6881,0.9652,-0.2572,-0.0344,-0.056,0.4499,-1.1486,0.5626,67.34,0
0.221,-0.7747,-1.4529,-0.684,-0.7516,0.9356,1.0125,-1.0499,660.1,0
0.4904,0.2602,0.6385,-0.158,0.1841,-0.489,-1.5506,0.3428,354.58,0
-0.4338,-0.1865,-0.7327,-0.5307,-0.5625,-0.2873,0.6558,0.4071,503.65,0
-0.3727,0.5921,-0.9472,-0.298,-0.161,-0.4481,0.8114,0.6413,146.02,0
-0.6021,-0.4767,-0.216,0.5728,-0.4776,-0.5334,-1.3454,-0.5717,363.66,0
-1.9894,0.3674,0.079,-0.5174,-1.0374,0.0128,0.4805,0.0978,170.57,0
-1.9915,-1.0362,-0.5752,0.8022,1.2955,1.1028,-0.1533,-2.4273,218.5,0
-0.9485,-1.6341,0.3829,-1.3269,0.5021,-0.3048,-0.4754,0.5093,98.13,0
0.8038,-1.5027,-0.8695,0.126,0.6632,1.679,-0.2401,-0.8657,252.45,0
1.3846,-0.4104,1.7,-1.3335,0.3174,-0.1856,-1.9752,0.6582,252.45,0
-0.0633,0.8077,-1.6118,-0.7209,0.5727,0.0417,1.4163,-1.4114,585.32,0
2.0087,-0.1025,-0.0077,-0.6707,-1.0034,-0.1263,0.0276,-0.0869,76.97,0
0.3854,-0.9547,0.2777,1.068,1.7292,0.2506,1.0597,-1.2096,650.87,0
-1.01,-0.3667,-0.8018,0.8001,-1.6388,-1.341,-0.5915,0.6829,147.0,0
1.3749,-1.026,0.1698,-1.4219,0.6207,-0.7854,-1.136,0.1943,267.34,0
-1.8698,-0.7137,-0.0746,-0.3568,-0.3295,1.1793,2.1465,-0.3133,188.12,0
0.2446,0.9586,0.5161,-0.6122,-1.6491,-0.9269,-0.6712,-0.7486,383.9,0
0.5368,3.1019,-0.1227,-0.1191,0.7436,1.6453,0.975,-2.1556,196.36,0
0.94,-0.5759,1.4775,-0.0073,1.1096,-0.7577,-0.7422,0.091,415.53,0
0.2125,0.1258,0.2321,0.6045,0.9782,-1.5636,1.3102,1.2458,286.26,0
0.1689,0.0029,0.5294,-0.0032,-0.7824,-0.5152,-1.1122,0.5284,207.38,0
-0.8369,0.6332,1.5285,1.256,-0.029,-0.8385,0.0082,1.3808,339.81,0
-0.4418,0.1091,0.1036,0.0661,0.1773,-1.04,0.1065,-1.7552,89.07,0
-0.2036,0.0563,-0.4798,0.9566,0.2915,-0.557,-1.489,1.105,113.02,0
0.078,-1.2357,0.6727,0.1461,2.5935,1.4573,0.7112,0.2492,328.19,0
0.3509,0.4866,-0.5224,1.8835,0.4221,0.5314,1.7589,-0.4491,396.47,0
-0.0091,-0.5238,0.107,0.668,-0.3446,0.902,-1.2711,1.1713,25.07,0
0.0592,0.2074,-2.0114,-0.597,0.4612,0.1941,-2.154,0.2071,14.83,0
0.5761,1.674,0.4338,0.4545,0.0514,-0.3279,-0.1621,0.1354,296.14,0
0.3978,-1.9712,-0.6472,0.4703,-1.0298,0.4093,-0.557,-0.0328,421.42,0
0.1652,0.9421,-0.3878,-0.8694,0.57,-0.7434,-1.8355,1.8404,47.31,0
0.9262,0.3364,-0.2577,-2.3578,0.3677,-2.2793,-1.9234,-0.1617,357.62,0
1.3459,-0.5929,-0.7438,-0.9041,0.8297,-0.9295,0.8176,0.5457,51.98,0
0.0379,0.1647,0.3999,0.7343,-0.7825,-1.4666,0.0843,-1.7472,548.34,0
0.0419,1.4916,1.2909,0.197,-0.2623,0.5066,-0.1805,1.6803,58.48,0
-0.2431,0.4674,0.8712,1.7534,1.069,0.8965,2.6336,0.0963,59.7,0
1.0075,0.1438,1.5059,0.243,-0.02,1.5261,-1.5385,-0.5854,33.27,0
0.4744,-0.0293,-0.4073,-0.0828,1.5946,-0.443,-0.472,-1.7074,414.48,0
-1.1245,-0.213,1.1134,-0.8237,0.5959,0.0946,1.9932,0.3903,167.67,0
0.5792,-1.1327,-0.2106,-0.599,-0.7018,-0.2501,0.8999,1.1057,81.31,0
2.9162,0.5554,-0.5507,0.2055,0.6308,0.5928,0.496,0.9665,44.21,0
-0.6159,-0.3324,0.2611,0.3962,0.6397,0.755,-0.1715,2.1087,48.47,0
1.0577,0.0839,-1.6816,0.3521,-0.5593,-0.8745,-1.1449,0.9999,130.55,0
0.5191,0.0436,-1.8882,-0.2866,0.6453,-1.0259,0.1657,0.4316,86.0,0
0.022,0.9487,1.6462,0.5206,0.3585,3.2002,0.207,-1.0905,435.5,0
1.014,0.3467,-0.0407,-0.1031,-0.1999,0.6511,0.1397,-0.7284,116.77,0
-1.6571,0.3869,-1.3858,-2.5254,-0.344,-0.7559,-0.8615,-3.1031,286.5,0
0.6496,0.1381,0.9517,-0.3773,-0.4593,-1.1173,-0.4057,1.9659,171.83,0
1.625,0.1896,0.9993,-1.9958,-0.4995,-1.8739,0.7804,-1.5472,541.13,0
0.3807,-0.3415,0.3563,0.9086,-0.6508,-1.1012,-0.2839,-0.7723,29.28,0
-0.0804,-0.6683,-1.1864,1.434,0.5042,-0.0298,-0.5648,0.2962,30.13,0
-0.5635,0.5721,0.3171,0.366,-1.0589,-0.057,-0.1802,0.4953,343.51,0
-0.3727,1.9863,0.0066,0.7196,-0.5395,0.6899,-1.4556,-0.4621,25.2,0
1.9061,-1.5302,-0.0267,1.8515,-0.0286,1.3468,0.6525,-0.0072,269.52,0
-1.2031,1.4943,-0.2623,1.8054,0.2654,0.5068,-0.4603,1.407,821.37,0
1.3974,-1.5441,0.5539,1.2926,1.019,-2.0964,-0.8537,-1.2802,173.69,0
-0.7887,-0.4163,1.1207,0.464,0.6385,-0.0258,0.8228,-0.8735,579.5,0
-1.7303,-1.4568,1.0202,1.2818,1.5999,0.2263,-0.9909,-0.438,27.66,0
0.0534,-0.4026,-0.1551,-0.536,1.4057,-0.0189,0.2162,0.2243,521.3,0
0.9503,1.1136,1.7447,1.2364,1.7495,1.3791,1.4662,-0.0409,325.81,0
-0.2339,-0.7707,-1.215,-0.8173,-1.15,-0.4202,0.4325,0.1207,300.1,0
-0.3132,0.4765,-0.6497,-1.3168,1.1477,-0.451,0.0184,-0.6101,74.71,0
-0.4948,-0.551,0.3568,-0.825,-1.5179,0.3532,-0.1077,-0.1289,44.85,0
0.556,-0.7006,0.537,-0.5072,0.4595,0.3785,0.0688,0.7945,96.6,0
-1.277,0.705,-0.2497,-1.9665,0.1008,0.439,0.9631,-0.0734,121.88,0
2.2358,2.0594,2.099,2.1535,2.014,1.2586,2.8825,1.3321,64.83,1
-0.0525,-0.9979,-1.4797,0.0499,-3.5304,-0.1007,-0.9447,0.7802,177.31,0
-1.6593,1.4953,-1.4996,1.5849,0.6696,-0.0763,0.442,0.4653,303.2,0
-1.2352,-0.2176,0.648,0.8394,-1.7747,-0.0918,0.4597,0.052,126.79,0
-1.1366,0.372,0.7774,-0.5013,-0.1662,0.999,-0.8082,-0.9097,498.8,0
-1.1756,0.4907,0.1753,-1.6165,0.9929,-0.1763,0.1618,0.7646,403.21,0
-1.4607,-0.8906,-0.7192,-0.2078,-0.761,0.707,-1.6051,-1.5797,126.9,0
-0.4706,-0.1546,-0.7678,0.0071,-0.2782,-0.6113,1.5898,0.4152,888.73,0
