customer_id,city,employment_type,age,monthly_income,loan_amount,credit_score,country,loan_approved
CUST-00044,City_5,Self-Employed,56.0,12204.08,45793.87,,Morocco,1
CUST-00045,City_82,Self-Employed,50.0,7243.78,64214.69,,Morocco,1
CUST-00046,City_37,Student,39.0,8716.9,5943.69,,Morocco,1
CUST-00047,City_75,Salaried,46.0,5277.31,5523.32,,Morocco,1
CUST-00048,City_57,Self-Employed,,6035.11,50476.08,,Morocco,0
CUST-00049,City_66,Salaried,27.0,4716.12,44857.66,,Morocco,1
CUST-00050,City_64,Self-Employed,23.0,800.0,48403.54,739.0,Morocco,0
CUST-00051,City_16,Salaried,31.0,3054.98,35757.46,759.0,Morocco,0
CUST-00052,City_30,Self-Employed,42.0,1973.45,58287.07,590.0,Morocco,1
CUST-00053,City_39,Self-Employed,27.0,875.54,63652.78,,Morocco,1
CUST-00054,City_42,Salaried,24.0,3511.6,54679.65,,Morocco,1
CUST-00055,City_3,Salaried,62.0,9812.39,39783.43,,Morocco,0
CUST-00056,City_46,Self-Employed,38.0,6388.91,2846.21,,Morocco,0
CUST-00057,City_13,Self-Employed,48.0,9726.41,60384.72,628.0,Morocco,1
CUST-00058,City_63,Salaried,45.0,7527.46,69434.57,774.0,Morocco,1
CUST-00059,City_58,Self-Employed,,8456.4,57891.17,615.0,Morocco,0
CUST-00060,City_78,Student,,4247.76,27407.15,658.0,Morocco,1
CUST-00061,City_63,Salaried,34.0,7809.88,58475.89,741.0,Morocco,1
CUST-00062,City_31,Salaried,62.0,8321.79,62210.59,,Morocco,0
CUST-00063,City_82,Salaried,37.0,5058.38,76176.32,,Morocco,1
CUST-00064,City_34,Self-Employed,61.0,7898.85,27477.8,,Morocco,1
CUST-00065,City_27,Salaried,39.0,7915.47,40470.91,,Morocco,1
CUST-00066,City_76,Self-Employed,24.0,5126.12,59945.44,,Morocco,1
CUST-00067,City_31,Self-Employed,57.0,3693.08,46148.2,,Morocco,0
CUST-00068,City_6,Salaried,20.0,3539.68,22653.45,569.0,Morocco,0
CUST-00069,City_39,Unemployed,58.0,6716.26,53292.33,,Morocco,1
CUST-00070,City_67,Self-Employed,21.0,7317.52,56573.23,631.0,Morocco,1
CUST-00071,City_16,Salaried,29.0,4518.69,46759.26,573.0,Morocco,0
CUST-00072,City_39,Salaried,,6566.46,49391.7,,Morocco,1
CUST-00073,City_11,Salaried,67.0,7926.34,39825.88,672.0,Morocco,1
CUST-00074,City_58,Salaried,39.0,8045.48,74565.58,,Morocco,1
CUST-00075,City_40,Salaried,25.0,10379.7,26986.16,,Morocco,1
CUST-00076,City_28,Student,30.0,9692.45,33253.58,,Morocco,1
CUST-00077,City_19,Salaried,64.0,3996.77,45219.71,696.0,Morocco,0
CUST-00078,City_47,Salaried,56.0,10708.97,62579.08,,Morocco,0
CUST-00079,City_56,Self-Employed,24.0,5172.56,15052.54,,Morocco,0
CUST-00080,City_79,Self-Employed,38.0,9112.18,18794.07,716.0,Morocco,0
CUST-00081,City_37,Student,32.0,6669.97,4245.43,858.0,Morocco,0
CUST-00082,City_13,Self-Employed,,5469.63,45653.9,,Morocco,0
CUST-00083,City_70,Salaried,62.0,1980.76,22633.88,,Morocco,0
CUST-00084,City_53,Salaried,50.0,6071.09,37309.0,,Morocco,1
CUST-00085,City_59,Student,28.0,2601.54,58227.56,716.0,Morocco,0
CUST-00086,City_8,Self-Employed,52.0,8918.25,32169.15,,Morocco,0
CUST-00087,City_26,Student,40.0,10291.98,49625.64,,Morocco,1
CUST-00088,City_65,Salaried,22.0,4507.72,39013.24,,Morocco,0
CUST-00089,City_70,Unemployed,41.0,7254.93,58442.29,,Morocco,1
CUST-00090,City_36,Self-Employed,28.0,4686.52,54502.56,,Morocco,0
CUST-00091,City_68,Salaried,,4928.79,31161.33,,Morocco,0
CUST-00092,City_71,Self-Employed,63.0,8436.24,41626.96,,Morocco,0
CUST-00093,City_32,Self-Employed,55.0,6403.65,65874.87,,Morocco,0
CUST-00094,City_76,Salaried,,,52867.54,,Morocco,0
CUST-00095,City_24,Salaried,62.0,5294.42,17060.76,,Morocco,1
CUST-00096,City_20,Unemployed,48.0,8998.34,58112.36,549.0,Morocco,0
CUST-00097,City_58,Salaried,63.0,6743.53,23307.79,545.0,Morocco,0
CUST-00098,City_54,Salaried,57.0,8489.45,73250.26,,Morocco,0
CUST-00099,City_11,Salaried,36.0,5382.11,65481.98,555.0,Morocco,0
CUST-00100,City_70,Salaried,,6376.1,50797.71,,Morocco,1
CUST-00101,City_16,Student,46.0,6211.25,48144.66,,Morocco,1
CUST-00102,City_68,Self-Employed,55.0,4409.86,40819.35,615.0,Morocco,1
CUST-00103,City_0,Salaried,,8155.2,58570.48,756.0,Morocco,0
CUST-00104,City_67,Student,,8125.62,37584.44,703.0,Morocco,1
CUST-00105,City_66,Unemployed,,7983.89,49711.4,,Morocco,0
CUST-00106,City_66,Salaried,34.0,10342.41,62438.69,613.0,Morocco,0
CUST-00107,City_56,Unemployed,27.0,10123.36,33763.87,,Morocco,1
CUST-00108,City_40,Salaried,20.0,5562.64,32676.15,,Morocco,1
CUST-00109,City_59,Student,66.0,7432.63,21112.69,,Morocco,1
CUST-00110,City_23,Self-Employed,22.0,4941.0,23710.55,577.0,Morocco,0
CUST-00111,City_66,Self-Employed,64.0,6558.39,8432.09,,Morocco,1
CUST-00112,City_47,Salaried,19.0,5000.63,59596.58,487.0,Morocco,1
CUST-00113,City_39,Unemployed,58.0,10550.18,81178.29,,Morocco,0
CUST-00114,City_42,Salaried,35.0,7409.25,73506.58,711.0,Morocco,1
CUST-00115,City_48,Salaried,45.0,5954.93,12478.31,628.0,Morocco,0
CUST-00116,City_3,Salaried,33.0,9484.05,59497.09,795.0,Morocco,1
CUST-00117,City_11,Self-Employed,44.0,1073.46,73442.13,,Morocco,1
CUST-00118,City_20,Salaried,42.0,,35863.8,,Morocco,1
CUST-00119,City_9,Student,,8489.6,47028.95,,Morocco,1
CUST-00120,City_37,Self-Employed,39.0,6651.17,4842.14,,Morocco,1
CUST-00121,City_56,Salaried,,,50334.72,,Morocco,0
CUST-00122,City_55,Salaried,61.0,3184.01,23728.81,,Morocco,0
CUST-00123,City_40,Salaried,41.0,6441.92,48992.7,,Morocco,1
CUST-00124,City_72,Self-Employed,37.0,,13775.94,,Morocco,1
CUST-00125,City_48,Unemployed,25.0,8560.5,55857.16,,Morocco,1
CUST-00126,City_6,Salaried,37.0,6924.27,65490.25,715.0,Morocco,0
CUST-00127,City_65,Unemployed,25.0,5402.37,29336.4,,Morocco,1
CUST-00128,City_48,Salaried,28.0,5513.57,22261.55,711.0,Morocco,0
CUST-00129,City_53,Unemployed,67.0,1177.01,1879.54,589.0,Morocco,0
CUST-00130,City_48,Student,23.0,7144.1,39671.73,,Morocco,1
CUST-00131,City_47,Self-Employed,43.0,8613.71,33368.12,827.0,Morocco,1
CUST-00132,City_7,Self-Employed,61.0,2560.95,13979.61,,Morocco,1
CUST-00133,City_47,Unemployed,67.0,4846.46,54060.38,475.0,Morocco,0
CUST-00134,City_67,Salaried,26.0,3606.34,36000.59,,Morocco,0
CUST-00135,City_25,Salaried,27.0,4086.62,23485.28,,Morocco,1
CUST-00136,City_51,Salaried,38.0,6633.7,33908.55,,Morocco,1
CUST-00137,City_2,Salaried,47.0,1288.99,66426.09,,Morocco,0
CUST-00138,City_29,Self-Employed,67.0,8035.68,57058.74,731.0,Morocco,0
CUST-00139,City_37,Self-Employed,29.0,8384.64,42399.48,689.0,Morocco,0
CUST-00140,City_83,Unemployed,27.0,5872.24,57382.1,747.0,Morocco,0
CUST-00141,City_18,Salaried,31.0,800.0,21781.76,724.0,Morocco,0
CUST-00142,City_23,Self-Employed,63.0,4008.95,45647.4,772.0,Morocco,0
CUST-00143,City_34,Salaried,20.0,,47946.45,,Morocco,1
CUST-00144,City_84,Salaried,38.0,800.0,35603.27,722.0,Morocco,0
CUST-00145,City_72,Self-Employed,25.0,5631.19,53709.17,,Morocco,1
CUST-00146,City_2,Student,27.0,3550.0,29391.33,,Morocco,0
CUST-00147,City_19,Self-Employed,,8511.43,55196.41,,Morocco,0
CUST-00148,City_69,Salaried,19.0,4812.22,56037.18,667.0,Morocco,1
CUST-00149,City_4,Self-Employed,35.0,7509.89,1000.0,,Morocco,0
CUST-00150,City_72,Salaried,65.0,7913.65,68806.11,,Morocco,0
CUST-00151,City_23,Unemployed,50.0,11090.56,1000.0,,Morocco,1
CUST-00152,City_78,Self-Employed,22.0,5992.65,32679.02,,Morocco,1
CUST-00153,City_24,Salaried,42.0,7440.11,65506.96,,Morocco,0
CUST-00154,City_36,Salaried,68.0,2787.36,38654.27,694.0,Morocco,0
CUST-00155,City_56,Salaried,39.0,9476.03,15676.28,513.0,Morocco,1
CUST-00156,City_10,Student,45.0,4598.73,23125.26,,Morocco,0
CUST-00157,City_47,Salaried,46.0,,65538.11,,Morocco,1
CUST-00158,City_42,Self-Employed,52.0,6444.38,6569.91,,Morocco,1
CUST-00159,City_66,Self-Employed,28.0,2592.79,67579.82,,Morocco,0
CUST-00160,City_84,Self-Employed,61.0,7071.93,43897.96,,Morocco,1
CUST-00161,City_56,Salaried,69.0,8918.67,21152.09,705.0,Morocco,1
CUST-00162,City_34,Student,26.0,7232.33,33337.7,,Morocco,1
CUST-00163,City_34,Salaried,60.0,2527.76,24655.51,,Morocco,0
CUST-00164,City_35,Self-Employed,60.0,6190.48,62324.5,,Morocco,0
CUST-00165,City_69,Self-Employed,56.0,8355.07,59648.56,,Morocco,0
CUST-00166,City_27,Self-Employed,37.0,1805.03,10616.78,,Morocco,0
CUST-00167,City_14,Student,42.0,3813.08,36928.16,693.0,Morocco,0
CUST-00168,City_28,Salaried,61.0,8691.36,27736.29,670.0,Morocco,1
CUST-00169,City_1,Salaried,26.0,7175.24,70870.2,662.0,Morocco,1
CUST-00170,City_9,Salaried,,7529.93,17998.02,636.0,Morocco,1
CUST-00171,City_7,Salaried,65.0,11148.74,77084.58,,Morocco,1
CUST-00172,City_65,Salaried,53.0,7671.38,44334.11,581.0,Morocco,1
CUST-00173,City_61,Salaried,36.0,8144.72,21761.31,,Morocco,1
CUST-00174,City_59,Salaried,47.0,13276.86,31454.52,,Morocco,1
CUST-00175,City_39,Salaried,21.0,5965.49,28967.62,,Morocco,1
CUST-00176,City_60,Salaried,66.0,4505.29,19507.63,,Morocco,0
CUST-00177,City_13,Self-Employed,36.0,7569.49,46896.54,,Morocco,0
CUST-00178,City_76,Self-Employed,21.0,7597.48,20441.69,,Morocco,1
CUST-00179,City_42,Salaried,,5183.21,1392.68,713.0,Morocco,1
CUST-00180,City_79,Salaried,52.0,3919.01,37406.47,646.0,Morocco,0
CUST-00181,City_12,Salaried,50.0,12274.61,8942.88,,Morocco,1
CUST-00182,City_42,Self-Employed,21.0,,29956.78,,Morocco,1
CUST-00183,City_59,Salaried,57.0,,26817.94,812.0,Morocco,1
CUST-00184,City_42,Salaried,51.0,8789.83,27575.68,,Morocco,1
CUST-00185,City_37,Salaried,,,85019.26,,Morocco,1
CUST-00186,City_14,Salaried,,5867.8,46128.23,,Morocco,1
CUST-00187,City_32,Salaried,29.0,7905.68,49907.42,,Morocco,0
CUST-00188,City_20,Self-Employed,29.0,3270.29,9472.03,,Morocco,0
CUST-00189,City_25,Self-Employed,66.0,7381.57,31920.74,483.0,Morocco,0
CUST-00190,City_58,Self-Employed,46.0,11282.39,49306.05,681.0,Morocco,1
CUST-00191,City_53,Self-Employed,41.0,7665.44,24509.42,620.0,Morocco,1
CUST-00192,City_51,Self-Employed,33.0,5559.47,63161.26,,Morocco,0
CUST-00193,City_30,Salaried,51.0,5232.24,20946.07,717.0,Morocco,1
CUST-00194,City_81,Self-Employed,57.0,5474.15,39272.68,765.0,Morocco,1
CUST-00195,City_7,Salaried,19.0,5865.09,33278.97,,Morocco,1
CUST-00196,City_29,Salaried,47.0,5555.48,48286.41,,Morocco,0
CUST-00197,City_10,Self-Employed,,8790.78,32190.2,,Morocco,0
CUST-00198,City_28,Salaried,33.0,2166.98,39582.13,,Morocco,0
CUST-00199,City_81,Salaried,33.0,8655.0,40277.4,,Morocco,1
CUST-00200,City_31,Self-Employed,63.0,5550.78,30312.24,,Morocco,1
CUST-00201,City_77,Unemployed,22.0,7442.37,54701.88,,Morocco,1
CUST-00202,City_42,Student,39.0,3682.53,49767.77,,Morocco,0
CUST-00203,City_59,Salaried,42.0,9821.58,43227.72,,Morocco,1
CUST-00204,City_38,Salaried,59.0,9614.09,36390.83,505.0,Morocco,1
CUST-00205,City_22,Self-Employed,25.0,8898.98,60930.88,,Morocco,1
CUST-00206,City_64,Salaried,41.0,2713.11,40283.32,,Morocco,0
CUST-00207,City_82,Unemployed,26.0,8572.8,38866.05,,Morocco,1
CUST-00208,City_22,Salaried,,7512.14,47093.8,768.0,Morocco,1
CUST-00209,City_66,Salaried,51.0,2486.82,78931.73,,Morocco,0
CUST-00210,City_22,Salaried,44.0,6439.26,18192.88,644.0,Morocco,1
CUST-00211,City_60,Unemployed,39.0,7411.34,60397.14,,Morocco,0
CUST-00212,City_67,Salaried,26.0,,7136.58,,Morocco,0
CUST-00213,City_38,Salaried,66.0,6943.15,49345.46,,Morocco,1
CUST-00214,City_62,Salaried,52.0,7228.08,76501.66,,Morocco,1
CUST-00215,City_23,Salaried,35.0,10184.03,54773.37,760.0,Morocco,1
CUST-00216,City_6,Salaried,40.0,9565.08,48412.5,571.0,Morocco,1
CUST-00217,City_8,Self-Employed,,800.0,33791.01,,Morocco,0
CUST-00218,City_37,Salaried,55.0,5706.4,45620.94,643.0,Morocco,1
CUST-00219,City_76,Unemployed,42.0,6088.37,39958.74,,Morocco,1
CUST-00220,City_10,Unemployed,34.0,2119.75,29280.47,,Morocco,0
CUST-00221,City_38,Salaried,52.0,6735.46,39202.49,,Morocco,1
CUST-00222,City_59,Salaried,52.0,9621.89,48967.62,,Morocco,1
CUST-00223,City_17,Self-Employed,49.0,3783.58,29655.66,763.0,Morocco,1
CUST-00224,City_61,Salaried,22.0,7341.0,28874.36,,Morocco,0
CUST-00225,City_26,Salaried,43.0,4210.44,17795.13,,Morocco,0
CUST-00226,City_68,Student,,4820.22,52814.5,,Morocco,0
CUST-00227,City_49,Student,67.0,10193.48,55906.47,,Morocco,1
CUST-00228,City_46,Self-Employed,45.0,5143.61,49633.21,,Morocco,1
CUST-00229,City_15,Salaried,36.0,7655.53,64303.41,707.0,Morocco,1
CUST-00230,City_39,Self-Employed,47.0,1821.95,46757.35,,Morocco,0
CUST-00231,City_72,Self-Employed,28.0,11155.79,52840.22,,Morocco,1
CUST-00232,City_1,Salaried,23.0,8006.63,51076.75,,Morocco,0
CUST-00233,City_64,Self-Employed,53.0,6043.75,43169.2,,Morocco,1
CUST-00234,City_41,Salaried,69.0,7938.87,34383.56,,Morocco,1
CUST-00235,City_61,Salaried,62.0,2975.45,89283.05,733.0,Morocco,1
CUST-00236,City_56,Salaried,48.0,,35960.98,606.0,Morocco,1
CUST-00237,City_36,Salaried,21.0,5690.04,31682.45,,Morocco,1
CUST-00238,City_26,Salaried,69.0,5989.83,53680.2,643.0,Morocco,1
CUST-00239,City_53,Unemployed,41.0,5270.86,50037.09,,Morocco,1
CUST-00240,City_11,Student,33.0,5048.37,16904.17,,Morocco,1
CUST-00241,City_49,Self-Employed,,8236.68,67453.57,578.0,Morocco,1
CUST-00242,City_8,Unemployed,57.0,7139.77,43116.11,571.0,Morocco,0
CUST-00243,City_55,Student,57.0,8129.37,22781.38,634.0,Morocco,1
CUST-00244,City_53,Salaried,33.0,6478.01,68775.68,,Morocco,1
CUST-00245,City_7,Salaried,69.0,7783.0,57513.51,,Morocco,0
CUST-00246,City_64,Salaried,42.0,5452.88,19709.16,,Morocco,1
CUST-00247,City_35,Salaried,46.0,12074.33,80543.66,,Morocco,1
CUST-00248,City_66,Self-Employed,57.0,2580.17,58175.95,602.0,Morocco,0
CUST-00249,City_3,Salaried,52.0,9652.34,44796.08,,Morocco,0
CUST-00250,City_15,Salaried,27.0,9919.77,76804.38,,Morocco,1
CUST-00251,City_41,Salaried,34.0,4369.6,48185.96,,Morocco,0
CUST-00252,City_15,Salaried,37.0,12073.18,44438.34,,Morocco,0
CUST-00253,City_28,Student,67.0,8988.73,31794.0,,Morocco,1
CUST-00254,City_56,Salaried,55.0,8927.85,56637.01,,Morocco,0
CUST-00255,City_12,Salaried,37.0,,54532.06,,Morocco,0
CUST-00256,City_57,Salaried,56.0,5956.93,45293.6,,Morocco,0
CUST-00257,City_8,Salaried,56.0,5976.48,29200.27,,Morocco,1
CUST-00258,City_14,Self-Employed,39.0,7476.33,47598.6,,Morocco,1
CUST-00259,City_49,Salaried,39.0,10002.97,43604.02,667.0,Morocco,1
CUST-00260,City_67,Salaried,64.0,6953.29,18330.51,,Morocco,1
CUST-00261,City_14,Salaried,47.0,4221.39,15563.75,,Morocco,0
CUST-00262,City_25,Unemployed,26.0,8561.07,56303.07,,Morocco,0
CUST-00263,City_78,Self-Employed,55.0,8802.88,1000.0,767.0,Morocco,0
CUST-00264,City_84,Self-Employed,49.0,8136.65,49108.21,585.0,Morocco,1
CUST-00265,City_49,Self-Employed,44.0,8363.75,35438.34,,Morocco,1
CUST-00266,City_37,Self-Employed,55.0,5822.68,71164.93,,Morocco,1
CUST-00267,City_29,Salaried,65.0,4177.53,35130.64,,Morocco,1
CUST-00268,City_52,Salaried,,4329.52,58189.68,646.0,Morocco,1
CUST-00269,City_50,Salaried,40.0,2411.34,37061.72,,Morocco,0
CUST-00270,City_25,Salaried,28.0,7092.37,47274.96,,Morocco,1
CUST-00271,City_1,Unemployed,52.0,,59736.73,747.0,Morocco,1
CUST-00272,City_12,Salaried,39.0,5400.03,35748.89,624.0,Morocco,1
CUST-00273,City_81,Self-Employed,36.0,800.0,64931.1,,Morocco,0
CUST-00274,City_35,Unemployed,54.0,3381.71,25126.04,,Morocco,0
CUST-00275,City_40,Salaried,39.0,9302.1,50891.86,,Morocco,0
CUST-00276,City_39,Student,42.0,4838.43,63452.79,,Morocco,0
CUST-00277,City_66,Self-Employed,41.0,7401.48,58200.75,,Morocco,0
CUST-00278,City_5,Unemployed,32.0,,83328.9,572.0,Morocco,0
CUST-00279,City_7,Salaried,25.0,10096.76,29731.21,573.0,Morocco,1
CUST-00280,City_23,Salaried,61.0,6139.93,17417.01,,Morocco,0
CUST-00281,City_41,Salaried,23.0,7225.1,25113.3,,Morocco,1
CUST-00282,City_57,Salaried,35.0,12314.45,58208.85,,Morocco,1
CUST-00283,City_41,Salaried,53.0,10291.1,54958.46,,Morocco,1
CUST-00284,City_37,Student,25.0,5733.59,47045.13,673.0,Morocco,1
CUST-00285,City_79,Self-Employed,52.0,5016.95,22540.86,,Morocco,1
CUST-00286,City_13,Salaried,56.0,5686.14,60337.35,,Morocco,1
CUST-00287,City_48,Salaried,52.0,7774.75,20505.9,,Morocco,1
CUST-00288,City_46,Salaried,34.0,6236.94,68178.99,,Morocco,1
CUST-00289,City_40,Salaried,20.0,,102148.77,,Morocco,0
CUST-00290,City_68,Student,64.0,,52329.02,648.0,Morocco,1
CUST-00291,City_22,Salaried,35.0,6214.48,56662.16,603.0,Morocco,0
CUST-00292,City_81,Salaried,60.0,12248.97,35142.8,,Morocco,1
CUST-00293,City_28,Self-Employed,29.0,6726.86,8795.73,574.0,Morocco,1
CUST-00294,City_46,Salaried,27.0,10963.3,32945.61,,Morocco,1
CUST-00295,City_44,Salaried,58.0,7393.3,23142.1,686.0,Morocco,0
CUST-00296,City_72,Self-Employed,66.0,8907.4,16059.91,,Morocco,1
CUST-00297,City_37,Self-Employed,62.0,4688.47,79447.2,,Morocco,0
CUST-00298,City_24,Student,57.0,4365.6,50457.25,622.0,Morocco,0
CUST-00299,City_1,Self-Employed,31.0,7649.26,52593.75,,Morocco,1
CUST-00300,City_30,Salaried,65.0,8971.38,38819.55,,Morocco,1
CUST-00301,City_70,Self-Employed,53.0,6600.64,41542.58,,Morocco,1
CUST-00302,City_0,Student,27.0,3284.02,64291.01,,Morocco,0
CUST-00303,City_76,Self-Employed,25.0,3099.35,44353.26,,Morocco,0
CUST-00304,City_46,Student,63.0,2932.16,55613.88,,Morocco,0
CUST-00305,City_11,Self-Employed,33.0,2080.94,41079.91,598.0,Morocco,0
CUST-00306,City_25,Unemployed,58.0,6773.71,38156.94,,Morocco,1
CUST-00307,City_47,Salaried,26.0,,16861.72,,Morocco,1
CUST-00308,City_26,Self-Employed,,,5445.02,,Morocco,1
CUST-00309,City_9,Salaried,,848.96,39768.76,689.0,Morocco,1
CUST-00310,City_56,Self-Employed,33.0,6023.1,46129.93,,Morocco,1
CUST-00311,City_57,Self-Employed,53.0,6093.0,19277.4,,Morocco,0
CUST-00312,City_10,Student,65.0,11740.0,44310.5,,Morocco,1
CUST-00313,City_23,Student,65.0,2857.16,46075.05,691.0,Morocco,0
CUST-00314,City_20,Salaried,56.0,5523.31,1879.84,508.0,Morocco,1
CUST-00315,City_56,Self-Employed,29.0,10764.63,26697.51,,Morocco,1
CUST-00316,City_62,Self-Employed,67.0,7624.95,53145.28,749.0,Morocco,0
CUST-00317,City_61,Salaried,46.0,7908.28,52741.17,,Morocco,1
CUST-00318,City_79,Salaried,,6786.46,21926.5,,Morocco,1
CUST-00319,City_65,Salaried,54.0,7324.86,48168.96,,Morocco,0
CUST-00320,City_27,Self-Employed,,8444.02,65448.14,,Morocco,0
CUST-00321,City_9,Salaried,67.0,4476.28,60541.46,,Morocco,0
CUST-00322,City_52,Student,48.0,8695.15,43094.28,,Morocco,1
CUST-00323,City_77,Salaried,50.0,3067.49,35640.47,,Morocco,0
CUST-00324,City_82,Student,57.0,7320.92,32413.11,,Morocco,0
CUST-00325,City_19,Salaried,32.0,6946.85,54356.4,,Morocco,0
CUST-00326,City_20,Self-Employed,,,48902.08,548.0,Morocco,1
CUST-00327,City_3,Salaried,50.0,6443.29,57588.08,567.0,Morocco,1
CUST-00328,City_12,Self-Employed,22.0,,47637.48,,Morocco,0
CUST-00329,City_47,Unemployed,35.0,3820.75,61375.28,,Morocco,1
CUST-00330,City_46,Student,55.0,,46891.85,,Morocco,0
CUST-00331,City_31,Unemployed,68.0,3740.03,60693.77,,Morocco,0
CUST-00332,City_26,Salaried,45.0,7306.99,62416.46,,Morocco,1
CUST-00333,City_70,Salaried,39.0,3624.79,28909.47,,Morocco,1
CUST-00334,City_39,Salaried,41.0,8279.94,8837.12,681.0,Morocco,1
CUST-00335,City_68,Salaried,,,75869.86,,Morocco,1
CUST-00336,City_81,Self-Employed,46.0,5084.26,50133.17,,Morocco,1
CUST-00337,City_26,Self-Employed,20.0,,10710.28,,Morocco,1
CUST-00338,City_17,Self-Employed,46.0,9812.87,30723.61,717.0,Morocco,0
CUST-00339,City_80,Unemployed,39.0,,60437.49,,Morocco,1
CUST-00340,City_53,Self-Employed,54.0,5970.67,39406.46,667.0,Morocco,1
CUST-00341,City_24,Unemployed,63.0,7746.8,34758.77,,Morocco,1
CUST-00342,City_52,Salaried,68.0,1232.02,73017.64,,Morocco,1
CUST-00343,City_43,Salaried,50.0,6392.17,24054.26,,Morocco,1
CUST-00344,City_76,Self-Employed,37.0,11493.79,29036.93,,Morocco,1
CUST-00345,City_21,Unemployed,,6830.87,49227.73,641.0,Morocco,1
CUST-00346,City_84,Salaried,27.0,6669.78,52809.1,,Morocco,1
CUST-00347,City_79,Salaried,,7870.32,54926.86,707.0,Morocco,1
CUST-00348,City_15,Self-Employed,62.0,8739.01,63224.76,,Morocco,1
CUST-00349,City_13,Salaried,62.0,1506.33,48971.57,559.0,Morocco,0
CUST-00350,City_45,Salaried,35.0,2294.18,54787.68,639.0,Morocco,0
CUST-00351,City_3,Unemployed,35.0,7025.73,39815.81,,Morocco,1
CUST-00352,City_25,Self-Employed,62.0,4712.81,46253.97,,Morocco,0
CUST-00353,City_36,Salaried,46.0,9780.06,47150.68,663.0,Morocco,1
CUST-00354,City_82,Unemployed,54.0,5712.06,49301.96,,Morocco,1
CUST-00355,City_84,Salaried,43.0,1663.67,60450.8,563.0,Morocco,0
CUST-00356,City_12,Unemployed,41.0,3329.97,56102.91,,Morocco,0
CUST-00357,City_75,Salaried,51.0,800.0,45884.34,,Morocco,0
