2026-08-06 13:43:01 | INFO     | emads.ui | Pipeline run started — dataset=real_estate_dataset.csv target_column=None
2026-08-06 13:43:04 | INFO     | emads.ui | Pipeline step completed — step=preprocessing (3/9)
2026-08-06 13:43:04 | INFO     | emads.model_selection_agent | >>> START agent=model_selection_agent
2026-08-06 13:43:04 | INFO     | emads.model_selection_agent | execute() started
2026-08-06 13:43:04 | DEBUG    | emads.model_selection_agent | Loading preprocessed data from: data\outputs\clean_dataset.csv
2026-08-06 13:43:08 | INFO     | emads.model_selection_agent | CV result — model=LinearRegression score=-19103.5812±810.5508 metric=neg_root_mean_squared_error
2026-08-06 13:43:09 | INFO     | emads.model_selection_agent | CV result — model=DecisionTree score=-69194.1283±7086.5782 metric=neg_root_mean_squared_error
2026-08-06 13:43:09 | INFO     | emads.model_selection_agent | CV result — model=RandomForest score=-48622.0731±5461.7243 metric=neg_root_mean_squared_error
2026-08-06 13:43:11 | INFO     | emads.model_selection_agent | CV result — model=XGBoost score=-46022.2492±4319.4955 metric=neg_root_mean_squared_error
2026-08-06 13:43:14 | INFO     | emads.model_selection_agent | CV result — model=LightGBM score=-32584.9195±3622.8576 metric=neg_root_mean_squared_error
2026-08-06 13:43:14 | INFO     | emads.model_selection_agent | Model selection complete: selected_model=LinearRegression score=-19103.5812
2026-08-06 13:43:14 | INFO     | emads.model_selection_agent | <<< END   agent=model_selection_agent  status=OK
2026-08-06 13:43:14 | INFO     | emads.ui | Pipeline step completed — step=model_selection (4/9)
2026-08-06 13:43:14 | INFO     | emads.ui | LLM payload — model_selection_summary chars=0 starts_with=''
2026-08-06 13:43:14 | INFO     | emads.hyperparameter_agent | >>> START agent=hyperparameter_agent
2026-08-06 13:43:14 | INFO     | emads.hyperparameter_agent | <<< END   agent=hyperparameter_agent  status=OK
2026-08-06 13:43:14 | INFO     | emads.ui | Pipeline step completed — step=hyperparameter_optimization (5/9)
2026-08-06 13:43:14 | INFO     | emads.evaluation_agent | >>> START agent=evaluation_agent
2026-08-06 13:43:14 | INFO     | emads.evaluation_agent | execute() started
2026-08-06 13:43:14 | INFO     | emads.evaluation_agent | Evaluation metrics: {'mae': 16900.083322544036, 'mse': 438713006.74769074, 'rmse': 20945.476999765146, 'r2': 0.9708338115676791, 'cv_mean_neg_rmse': -19080.080978835285, 'cv_std_neg_rmse': 278.0712314679409, 'cv_ci_lower': -19323.821159885847, 'cv_ci_upper': -18836.340797784724}
2026-08-06 13:43:14 | INFO     | emads.evaluation_agent | <<< END   agent=evaluation_agent  status=OK
2026-08-06 13:43:14 | INFO     | emads.ui | Pipeline step completed — step=evaluation (6/9)
2026-08-06 13:43:14 | INFO     | emads.explainability_agent | >>> START agent=explainability_agent
2026-08-06 13:43:14 | INFO     | emads.explainability_agent | execute() started
2026-08-06 13:43:14 | DEBUG    | emads.explainability_agent | Loading data from data\outputs\clean_dataset.csv and model from data\outputs\models\selected_model.pkl
2026-08-06 13:43:14 | INFO     | emads.explainability_agent | Computing SHAP values (model=LinearRegression sample_size=100)
2026-08-06 13:43:15 | INFO     | emads.explainability_agent | SHAP computation successful — top_features=['Square_Feet', 'Num_Bedrooms', 'Year_Built', 'Has_Pool', 'Num_Bathrooms']
2026-08-06 13:43:16 | INFO     | emads.explainability_agent | Calling LLM for explainability summary (model=llama-3.1-8b-instant)
2026-08-06 13:43:17 | INFO     | emads.explainability_agent | LLM explainability response received (chars=2145, starts_with="Here's a plain English explanation of the model's behavior:\n\n* **The model is pr")
2026-08-06 13:43:17 | INFO     | emads.explainability_agent | execute() complete — top_feature=Square_Feet shap_plots=1
2026-08-06 13:43:17 | INFO     | emads.explainability_agent | <<< END   agent=explainability_agent  status=OK
2026-08-06 13:43:17 | INFO     | emads.ui | Pipeline step completed — step=explainability (7/9)
2026-08-06 13:43:17 | INFO     | emads.ui | LLM payload — explainability_summary chars=2145 starts_with="Here's a plain English explanation of the model's behavior:\n\n* **The model is pr"
2026-08-06 13:43:17 | INFO     | emads.meta_evaluator_agent | >>> START agent=meta_evaluator_agent
2026-08-06 13:43:17 | INFO     | emads.meta_evaluator_agent | <<< END   agent=meta_evaluator_agent  status=OK
2026-08-06 13:43:17 | INFO     | emads.ui | Pipeline step completed — step=meta_evaluation (8/9)
2026-08-06 13:43:17 | INFO     | emads.reporting_agent | >>> START agent=reporting_agent
2026-08-06 13:43:18 | INFO     | emads.reporting_agent | <<< END   agent=reporting_agent  status=OK
2026-08-06 13:43:18 | INFO     | emads.ui | Pipeline step completed — step=reporting (9/9)
2026-08-06 13:43:18 | INFO     | emads.ui | Reporting output — report_path=reports\EMADS_Report_20260806_134301.pdf
2026-08-06 13:43:18 | INFO     | emads.ui | Pipeline run completed successfully.
