2026-07-29 12:26:04 | INFO     | emads.ui | Pipeline run started — dataset=students.csv target_column=score_soft_skills
2026-07-29 12:26:20 | INFO     | emads.model_selection_agent | CV result — model=RandomForest score=-4.4116±0.1071 metric=neg_root_mean_squared_error
2026-07-29 12:26:20 | INFO     | emads.model_selection_agent | CV result — model=XGBoost score=-5.0409±0.1104 metric=neg_root_mean_squared_error
2026-07-29 12:26:23 | INFO     | emads.model_selection_agent | CV result — model=LightGBM score=-4.6516±0.0457 metric=neg_root_mean_squared_error
2026-07-29 12:26:23 | INFO     | emads.model_selection_agent | Calling LLM for model selection summary (model=llama-3.1-8b-instant)
2026-07-29 12:26:24 | INFO     | emads.model_selection_agent | LLM model selection summary received (chars=1334, starts_with="Here's a concise explanation of why LinearRegression was selected as the best mo")
2026-07-29 12:26:24 | INFO     | emads.model_selection_agent | Model selection complete: selected_model=LinearRegression score=-4.4094
2026-07-29 12:26:24 | INFO     | emads.model_selection_agent | <<< END   agent=model_selection_agent  status=OK
2026-07-29 12:26:24 | INFO     | emads.ui | Pipeline step completed — step=model_selection (4/8)
2026-07-29 12:26:24 | INFO     | emads.ui | LLM payload — model_selection_summary chars=1334 starts_with="Here's a concise explanation of why LinearRegression was selected as the best mo"
2026-07-29 12:26:24 | INFO     | emads.hyperparameter_agent | >>> START agent=hyperparameter_agent
2026-07-29 12:26:24 | INFO     | emads.hyperparameter_agent | <<< END   agent=hyperparameter_agent  status=OK
2026-07-29 12:26:24 | INFO     | emads.ui | Pipeline step completed — step=hyperparameter_optimization (5/8)
2026-07-29 12:26:24 | INFO     | emads.evaluation_agent | >>> START agent=evaluation_agent
2026-07-29 12:26:24 | INFO     | emads.evaluation_agent | execute() started
2026-07-29 12:26:24 | INFO     | emads.evaluation_agent | Evaluation metrics: {'mae': 3.693144383410691, 'mse': 18.214798404281417, 'rmse': 4.267879848857207, 'r2': 0.013180829427279939, 'cv_mean_neg_rmse': -4.409430189202541, 'cv_std_neg_rmse': 0.13869962070500677}
2026-07-29 12:26:24 | INFO     | emads.evaluation_agent | <<< END   agent=evaluation_agent  status=OK
2026-07-29 12:26:24 | INFO     | emads.ui | Pipeline step completed — step=evaluation (6/8)
2026-07-29 12:26:24 | INFO     | emads.explainability_agent | >>> START agent=explainability_agent
2026-07-29 12:26:24 | INFO     | emads.explainability_agent | execute() started
2026-07-29 12:26:24 | DEBUG    | emads.explainability_agent | Loading data from data\outputs\clean_dataset.csv and model from data\outputs\models\selected_model.pkl
2026-07-29 12:26:24 | INFO     | emads.explainability_agent | Computing SHAP values (model=LinearRegression sample_size=100)
2026-07-29 12:26:25 | INFO     | emads.explainability_agent | SHAP computation successful — top_features=['bourse_Oui', 'filiere_Génie Électrique', 'mention_bac_Passable', 'mention_bac_Très Bien', 'filiere_Informatique']
2026-07-29 12:26:25 | INFO     | emads.explainability_agent | Calling LLM for explainability summary (model=llama-3.1-8b-instant)
2026-07-29 12:26:26 | INFO     | emads.explainability_agent | LLM explainability response received (chars=2117, starts_with="Here's a structured explanation of the model's behavior in plain English:\n\n**Key")
2026-07-29 12:26:26 | INFO     | emads.explainability_agent | execute() complete — top_feature=filiere_Génie Électrique shap_plots=1
2026-07-29 12:26:26 | INFO     | emads.explainability_agent | <<< END   agent=explainability_agent  status=OK
2026-07-29 12:26:26 | INFO     | emads.ui | Pipeline step completed — step=explainability (7/8)
2026-07-29 12:26:26 | INFO     | emads.ui | LLM payload — explainability_summary chars=2117 starts_with="Here's a structured explanation of the model's behavior in plain English:\n\n**Key"
2026-07-29 12:26:26 | INFO     | emads.reporting_agent | >>> START agent=reporting_agent
2026-07-29 12:26:26 | INFO     | emads.reporting_agent | <<< END   agent=reporting_agent  status=OK
2026-07-29 12:26:26 | INFO     | emads.ui | Pipeline step completed — step=reporting (8/8)
2026-07-29 12:26:26 | INFO     | emads.ui | Reporting output — report_path=reports\EMADS_Report_20260729_122604.pdf
2026-07-29 12:26:26 | INFO     | emads.ui | Pipeline run completed successfully.
